maturity,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24
3.6666666666666665,0.024193148872278414,0.023987012583213563,0.022488309554786534,0.02504355293824778,0.026462792564896143,0.025734359322170386,0.025745556709557027,0.02809074763114383,0.029726143337515776,0.029726143337515776,0.029726143337515776,0.029726143337515776,0.029782810205938315,0.029457357727519007,0.02913178008684314,0.02880608236468918,0.028480269666729674,0.02815434712363385,0.02782831989117951,0.0275021931503594,0.02717597210749534,0.026849661994351903,0.026523268068253003,0.026196795612199564,0.02587024993499054
3.75,0.02427811795007795,0.024066945906040083,0.0225423535450322,0.02513495444980829,0.026558795537015234,0.025802416987635413,0.02580287096971201,0.02816755511217206,0.02981342305507484,0.02981342305507484,0.02981342305507484,0.02981342305507484,0.029871222540108766,0.029540473060429395,0.029209605340976497,0.028878624527067798,0.028547535788140177,0.02821634431785003,0.02788505533417629,0.02755367407952458,0.0272222058208349,0.026890655849690415,0.026559029482429608,0.02622733206025707,0.025895568949362513
3.8333333333333335,0.024362525021865977,0.024146377117030937,0.022596206844547106,0.02522572386780131,0.026654125569419707,0.025870131990858525,0.025859973956955384,0.0282439329909161,0.029900164453431577,0.029900164453431577,0.029900164453431577,0.029900164453431577,0.029959083936108577,0.02962309613849534,0.029286997516283053,0.02895079327514205,0.028614488644037817,0.028278088875324014,0.027941599244841298,0.02760502505201723,0.02726837161996798,0.026931644295602464,0.02659484844972937,0.0262579894771644,0.02592107279684197
3.9166666666666665,0.024446373282963396,0.024225309163384168,0.022649871093630036,0.0253158646214815,0.026748786123775403,0.025937506529798204,0.025916867368829477,0.02831988366300786,0.029986370172027765,0.029986370172027765,0.029986370172027765,0.029986370172027765,0.030046397070136566,0.02970522947127119,0.029363958950387348,0.029022590769207435,0.02868113021187413,0.02833958258503877,0.027997953217955285,0.027656247462575445,0.027314470693645232,0.02697262830880498,0.026630725728691518,0.026288768397040307,0.025946761780792693
4,0.024529665912676135,0.02430374498096577,0.022703347938508145,0.025405380118342258,0.026842780636652463,0.026004542802776864,0.02597355290981218,0.028395409520030945,0.03007204283842424,0.03007204283842424,0.03007204283842424,0.03007204283842424,0.03013316460544746,0.02978687556010673,0.02944049197700105,0.02909401916948795,0.02874746247242399,0.02840082724224735,0.0280541188570691,0.02770734271676134,0.027360504243051365,0.027013608879615125,0.02666666209217694,0.026319669368605636,0.025972636219018463
4.083333333333333,0.024612406071192527,0.024381687491380033,0.022756639029467562,0.025494273740777507,0.026936112515979493,0.026071243005922673,0.02603003228920997,0.028470512946554116,0.030157185064903835,0.030157185064903835,0.030157185064903835,0.030157185064903835,0.03021938918891265,0.029868036894906025,0.02951659892288605,0.029165080633314577,0.028813487407186145,0.02846182464610658,0.028110097772378495,0.027758312229087645,0.027406473480190208,0.027054587010604703,0.026702658326304363,0.026350692954411503,0.025998696443296554
4.166666666666667,0.024694596896929877,0.024459139599458002,0.022809746019230692,0.025582548843230413,0.02702878513801843,0.02613760933095488,0.026086307219325366,0.028545196317567134,0.030241799445543283,0.030241799445543283,0.030241799445543283,0.030241799445543283,0.03030507344805944,0.029948715951330973,0.029592282105231682,0.02923577731268301,0.028879206996130558,0.028522576597618476,0.028165891578872726,0.027809157421380126,0.0274523796264754,0.027095563715425763,0.026738715229522203,0.026381839730167833,0.02602494279897405
4.25,0.02477624150426605,0.024536104191102526,0.022862670561546006,0.025670208749766665,0.02712080184479282,0.026203643963269796,0.026142379413864658,0.028619461996268303,0.030325888553696334,0.030325888553696334,0.030325888553696334,0.030325888553696334,0.03039021998852487,0.030028915188392125,0.02966754382938852,0.02930611135213823,0.02894462321574065,0.028583084897844335,0.028221501894722945,0.027859879721353842,0.027498223911498476,0.02713654001778565,0.026774833611798554,0.026413110284158714,0.02605137564461968
4.333333333333333,0.024857342981606134,0.024612584131444848,0.022915414309960136,0.02575725675201146,0.027212165941898903,0.026269349080282334,0.026198250586551453,0.028693312332153997,0.030409454939827274,0.030409454939827274,0.030409454939827274,0.030409454939827274,0.03047483139186591,0.03010863704637079,0.029742386386909958,0.029376084886941767,0.02900973803731688,0.02864335134634688,0.028276930339878215,0.027910480561366136,0.02754400757195352,0.027177516950549485,0.02681101429391264,0.026444505216734138,0.026077995351725836
4.416666666666667,0.024937904389729537,0.024688582263262315,0.022967978916746734,0.025843696107394676,0.02730288069664888,0.026334726849988277,0.026253922449915423,0.028766749659362878,0.03049250112964197,0.03049250112964197,0.03049250112964197,0.03049250112964197,0.03055891021367385,0.030187883945024474,0.029816812053854003,0.029445700041480505,0.02907455342549592,0.02870337773983289,0.028332178534834496,0.027960961377327065,0.02758973185069369,0.027218495554951705,0.026847258106833083,0.02647602513986347,0.026104802304448782
4.5,0.02501792876039599,0.024764101405636785,0.0230203660319781,0.025929530037677617,0.02739294933651104,0.026399779429723935,0.026309396714241817,0.028839776295256137,0.030575029622494476,0.030575029622494476,0.030575029622494476,0.030575029622494476,0.03064245898196405,0.030266658282047443,0.029890823089325114,0.02951495892789291,0.029139071336972355,0.028763165870974605,0.028387248099568163,0.028011323607747274,0.027635397995905864,0.027259476879909927,0.02688356589117702,0.02650767067675175,0.026131796899390602
4.583333333333333,0.02509741909515495,0.024839144352801323,0.02307257730271073,0.026014761727702007,0.02748237504778772,0.026464508965087674,0.026364675086649525,0.02891239453918315,0.030657042890006148,0.030657042890006148,0.030657042890006148,0.030657042890006148,0.030725480195785027,0.030344962431739342,0.02996442173420477,0.02958386364487109,0.02920329371937802,0.028822717527376307,0.02844214065259365,0.02806156869290155,0.027681007260385693,0.027300461981417667,0.02691993849673202,0.026539442461499085,0.026158979545409355
4.666666666666667,0.02517637836435127,0.02491371387317254,0.023124614372280528,0.02609939432435371,0.027571160974519282,0.026528917589012435,0.02641975927029061,0.02898460667142544,0.030738543374895455,0.030738543374895455,0.030738543374895455,0.030738543374895455,0.030807976324040087,0.030422798743868773,0.03003761021006568,0.0296524162766314,0.029267222510316104,0.028882034490677944,0.028496857810148546,0.028111698074097857,0.027726560900901864,0.027341451922014315,0.026956376782040437,0.026571341138810434,0.026186350663459645
4.75,0.025254809506291442,0.02498781270852901,0.023176478879687323,0.02618343093570008,0.027659310217577504,0.026593007420965042,0.02647465096365309,0.029056414952289833,0.030819533489977236,0.030819533489977236,0.030819533489977236,0.030819533489977236,0.0308899498044799,0.030500169542697853,0.03011039071823407,0.0297206188920216,0.029330859636519824,0.02894111853577419,0.028551401185478165,0.028161713193038285,0.027772060177640334,0.02738244777031995,0.026992881614035458,0.02660336736373914,0.026213910686457842
4.833333333333333,0.025332715426548136,0.025061443573321407,0.023228172459059504,0.02626687463027877,0.027746825833913524,0.02665678056625298,0.026529351859951866,0.029127821621324657,0.03090001561730915,0.03090001561730915,0.03090001561730915,0.03090001561730915,0.030971403042845402,0.03057707712614688,0.030182765438983017,0.029788473543747918,0.029394207013122342,0.028999971430131666,0.028605772388208495,0.028211615491255504,0.027817506353712718,0.027423450600625898,0.027029453867719155,0.026635521801466222,0.026241660059169503
